ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2013;MAR;ETANOL ANIDRO;IMPORTAÇÃO;59564,054;39799468
2013;NOV;ETANOL ANIDRO;IMPORTAÇÃO;18,505;41306
2013;OUT;ETANOL ANIDRO;IMPORTAÇÃO;0,766;4758
2013;SET;ETANOL ANIDRO;IMPORTAÇÃO;6,103;47651
2013;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;14490,489;9352508
2013;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;94403,433;57459830
2013;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;69596,688;41868958
2013;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;103192,127;62372945
2013;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;179411,21;112792476
2013;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;90358,921;56802975
2013;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;103236,547;63202079
2013;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;30662,71;16418738
2013;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;25823,789;16905926
2013;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;122145,833;73170699
2013;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;161414,721;95125205
2013;SET;ETANOL HIDRATADO;EXPORTAÇÃO;115838,513;68594765
2013;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;24,743;44494
2013;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;0,509;7034
2013;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;3,35;32738
2013;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;70,582;280186
2013;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;49,36;197923
2013;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;97,121;291655
2013;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;24,592;35349
2013;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;24,467;46724
2013;MAR;ETANOL HIDRATADO;IMPORTAÇÃO;98,951;336400
2013;NOV;ETANOL HIDRATADO;IMPORTAÇÃO;0,309;5890
2013;OUT;ETANOL HIDRATADO;IMPORTAÇÃO;2,236;20239
2013;SET;ETANOL HIDRATADO;IMPORTAÇÃO;50,09;126897
2014;ABR;ETANOL ANIDRO;EXPORTAÇÃO;100760,774;72720876
2014;AGO;ETANOL ANIDRO;EXPORTAÇÃO;36522,714;24071044
2014;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;54494,251;30043108
2014;FEV;ETANOL ANIDRO;EXPORTAÇÃO;5366,635;3766277
2014;JAN;ETANOL ANIDRO;EXPORTAÇÃO;100263,282;66770956
2014;JUL;ETANOL ANIDRO;EXPORTAÇÃO;41124,487;27392376
2014;JUN;ETANOL ANIDRO;EXPORTAÇÃO;103501,115;71925361
2014;MAI;ETANOL ANIDRO;EXPORTAÇÃO;120949,134;85989818
2014;MAR;ETANOL ANIDRO;EXPORTAÇÃO;51583,407;36095451
2014;NOV;ETANOL ANIDRO;EXPORTAÇÃO;41051,551;23635020
2014;OUT;ETANOL ANIDRO;EXPORTAÇÃO;28122,182;17448844
2014;SET;ETANOL ANIDRO;EXPORTAÇÃO;73144,456;49357765
2014;ABR;ETANOL ANIDRO;IMPORTAÇÃO;68479,084;36732108
2014;AGO;ETANOL ANIDRO;IMPORTAÇÃO;54875,935;30896153
2014;DEZ;ETANOL ANIDRO;IMPORTAÇÃO;39741,57;21537869
2014;FEV;ETANOL ANIDRO;IMPORTAÇÃO;73678,684;37647715
2014;JAN;ETANOL ANIDRO;IMPORTAÇÃO;37986,288;19904285
2014;JUL;ETANOL ANIDRO;IMPORTAÇÃO;516,298;351606
2014;JUN;ETANOL ANIDRO;IMPORTAÇÃO;26174,131;15162272
2014;MAI;ETANOL ANIDRO;IMPORTAÇÃO;25690,322;13706512
2014;MAR;ETANOL ANIDRO;IMPORTAÇÃO;99217,171;50001499
2014;NOV;ETANOL ANIDRO;IMPORTAÇÃO;11948,471;6026777
2014;OUT;ETANOL ANIDRO;IMPORTAÇÃO;33,362;44347
2014;SET;ETANOL ANIDRO;IMPORTAÇÃO;13241,765;7965251
2014;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;37560,243;23284793
2014;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;41999,877;25466193
2014;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;78438,177;45510434
2014;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;59806,023;36064222
2014;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;92985,931;55983038
2014;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;49595,918;29956172
2014;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;64522,802;39694707
2014;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;19795,784;12681441
2014;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;26149,936;16605042
2014;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;50971,719;30430082
2014;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;72902,913;43902556
2014;SET;ETANOL HIDRATADO;EXPORTAÇÃO;46301,679;29235371
2014;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;24,088;47941
2014;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;25,254;49238
2014;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;49,772;176094
2014;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;0,835;8715
2014;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;1,248;15768
2014;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;48,97;180715
2014;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;2,296;20355
2014;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;72,411;217350
2014;MAR;ETANOL HIDRATADO;IMPORTAÇÃO;1,05;9161
2014;NOV;ETANOL HIDRATADO;IMPORTAÇÃO;24,828;108661
2014;OUT;ETANOL HIDRATADO;IMPORTAÇÃO;98,598;391932
2014;SET;ETANOL HIDRATADO;IMPORTAÇÃO;70,976;197138
2015;ABR;ETANOL ANIDRO;EXPORTAÇÃO;12678,351;6584830
2015;AGO;ETANOL ANIDRO;EXPORTAÇÃO;124317,327;58690675
2015;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;115548,459;53361726
2015;FEV;ETANOL ANIDRO;EXPORTAÇÃO;39988,951;24240286
2015;JAN;ETANOL ANIDRO;EXPORTAÇÃO;96960,836;56675548
2015;JUL;ETANOL ANIDRO;EXPORTAÇÃO;73306,213;36680296
2015;JUN;ETANOL ANIDRO;EXPORTAÇÃO;67266,268;33260641
2015;MAI;ETANOL ANIDRO;EXPORTAÇÃO;75134,296;36987869
2015;MAR;ETANOL ANIDRO;EXPORTAÇÃO;39032,611;23564191
2015;NOV;ETANOL ANIDRO;EXPORTAÇÃO;112595,371;47616131
2015;OUT;ETANOL ANIDRO;EXPORTAÇÃO;152142,464;66678350
2015;SET;ETANOL ANIDRO;EXPORTAÇÃO;121637,537;54271460
2015;ABR;ETANOL ANIDRO;IMPORTAÇÃO;105574,079;51859368
2015;AGO;ETANOL ANIDRO;IMPORTAÇÃO;13275,762;6219563
2015;DEZ;ETANOL ANIDRO;IMPORTAÇÃO;13016,568;6178983
2015;FEV;ETANOL ANIDRO;IMPORTAÇÃO;67541,261;35075951
2015;JAN;ETANOL ANIDRO;IMPORTAÇÃO;80763,57;42868302
2015;JUL;ETANOL ANIDRO;IMPORTAÇÃO;1302,159;5579315
2015;JUN;ETANOL ANIDRO;IMPORTAÇÃO;68686,401;32470408
2015;MAI;ETANOL ANIDRO;IMPORTAÇÃO;50262,69;26141188
2015;MAR;ETANOL ANIDRO;IMPORTAÇÃO;92384,233;47689517
2015;NOV;ETANOL ANIDRO;IMPORTAÇÃO;9947,851;3815918
2015;OUT;ETANOL ANIDRO;IMPORTAÇÃO;9606,223;4712712
2015;SET;ETANOL ANIDRO;IMPORTAÇÃO;6,837;34328
2015;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;8429,754;3913260
2015;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;72711,237;31369174
2015;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;171143,391;72104887
2015;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;31102,65;17241545
2015;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;57560,264;31608583
2015;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;140172,215;63301675
2015;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;24468,809;11308889
2015;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;16760,704;9621664
2015;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;71837,292;38810865
2015;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;82277,943;34867767
2015;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;107861,466;44830019
2015;SET;ETANOL HIDRATADO;EXPORTAÇÃO;52264,181;22884951
2015;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;0,387;4634
2015;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;73,264;224742
2015;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;0,682;10223
2015;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;24,878;110317
2015;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;24,216;60505
2015;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;95,971;253268
2015;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;97,896;249688
2015;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;26,456;118198
2015;MAR;ETANOL HIDRATADO;IMPORTAÇÃO;71,797;199360
2015;NOV;ETANOL HIDRATADO;IMPORTAÇÃO;24,075;96180
2015;OUT;ETANOL HIDRATADO;IMPORTAÇÃO;48,369;84710
2015;SET;ETANOL HIDRATADO;IMPORTAÇÃO;25,186;33874
2016;ABR;ETANOL ANIDRO;EXPORTAÇÃO;51026,624;28440595
2016;AGO;ETANOL ANIDRO;EXPORTAÇÃO;110414,29;59457058
2016;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;14293,396;9898344
2016;FEV;ETANOL ANIDRO;EXPORTAÇÃO;113699,2;63768557
2016;JAN;ETANOL ANIDRO;EXPORTAÇÃO;46359,072;22874350
2016;JUL;ETANOL ANIDRO;EXPORTAÇÃO;125473,169;61031166
2016;JUN;ETANOL ANIDRO;EXPORTAÇÃO;116791,439;51480443
2016;MAI;ETANOL ANIDRO;EXPORTAÇÃO;60126,545;27824721
2016;MAR;ETANOL ANIDRO;EXPORTAÇÃO;132816,124;71913047
2016;NOV;ETANOL ANIDRO;EXPORTAÇÃO;14293,396;9898344
2016;OUT;ETANOL ANIDRO;EXPORTAÇÃO;43868,612;27262247
2016;SET;ETANOL ANIDRO;EXPORTAÇÃO;19504,601;11109733
2016;ABR;ETANOL ANIDRO;IMPORTAÇÃO;82799,149;34069331
2016;AGO;ETANOL ANIDRO;IMPORTAÇÃO;74007,333;37756257
2016;DEZ;ETANOL ANIDRO;IMPORTAÇÃO;140484,525;69137941
2016;FEV;ETANOL ANIDRO;IMPORTAÇÃO;32953,327;14085780
2016;JAN;ETANOL ANIDRO;IMPORTAÇÃO;28766,363;13572525
2016;JUL;ETANOL ANIDRO;IMPORTAÇÃO;54968,909;27818455
2016;JUN;ETANOL ANIDRO;IMPORTAÇÃO;37670,576;17882027
2016;MAI;ETANOL ANIDRO;IMPORTAÇÃO;37267,74;16049232
2016;MAR;ETANOL ANIDRO;IMPORTAÇÃO;81445,389;35309872
2016;NOV;ETANOL ANIDRO;IMPORTAÇÃO;137119,429;68496883
2016;OUT;ETANOL ANIDRO;IMPORTAÇÃO;71982,655;34016163
2016;SET;ETANOL ANIDRO;IMPORTAÇÃO;52449,822;25887538
2016;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;21283,088;10592562
2016;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;58584,587;28598431
2016;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;20054,398;14908410
2016;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;192061,229;87218423
2016;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;73399,284;32986682
2016;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;94266,978;44163999
2016;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;141364,399;61549981
2016;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;59300,976;27273899
2016;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;75194,772;34167530
2016;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;20054,398;14908410
2016;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;22454,195;12381778
2016;SET;ETANOL HIDRATADO;EXPORTAÇÃO;126300,867;62740486
2016;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;25,225;98103
2016;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;0,81;7513
2016;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;0,333;5348
2016;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;0,937;14797
2016;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;1,231;9583
2016;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;49,877;108396
2016;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;1,872;14346
2016;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;48,2;182954
2016;MAR;ETANOL HIDRATADO;IMPORTAÇÃO;48,35;68279
2016;NOV;ETANOL HIDRATADO;IMPORTAÇÃO;1,659;12144
2016;OUT;ETANOL HIDRATADO;IMPORTAÇÃO;25,38;40681
2016;SET;ETANOL HIDRATADO;IMPORTAÇÃO;25,016;39994
2017;ABR;ETANOL ANIDRO;EXPORTAÇÃO;127220,428;74131983
2017;AGO;ETANOL ANIDRO;EXPORTAÇÃO;91610,933;48951262
2017;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;17636,033;39388040
2017;FEV;ETANOL ANIDRO;EXPORTAÇÃO;60388,737;42904259
2017;JAN;ETANOL ANIDRO;EXPORTAÇÃO;101382,186;69372810
2017;JUL;ETANOL ANIDRO;EXPORTAÇÃO;150415,029;76650822
2017;JUN;ETANOL ANIDRO;EXPORTAÇÃO;103546,267;56636293
2017;MAI;ETANOL ANIDRO;EXPORTAÇÃO;55510,986;31270677
2017;MAR;ETANOL ANIDRO;EXPORTAÇÃO;44316,068;28119407
2017;NOV;ETANOL ANIDRO;EXPORTAÇÃO;94526,378;54125808
2017;OUT;ETANOL ANIDRO;EXPORTAÇÃO;114597,028;68206771
2017;SET;ETANOL ANIDRO;EXPORTAÇÃO;62688,003;34874347
2017;ABR;ETANOL ANIDRO;IMPORTAÇÃO;111924,258;55073312
2017;AGO;ETANOL ANIDRO;IMPORTAÇÃO;135294,376;64152646
2017;DEZ;ETANOL ANIDRO;IMPORTAÇÃO;84656,279;37980032
2017;FEV;ETANOL ANIDRO;IMPORTAÇÃO;257360,695;129522749
2017;JAN;ETANOL ANIDRO;IMPORTAÇÃO;172451,971;85920169
2017;JUL;ETANOL ANIDRO;IMPORTAÇÃO;73817,036;35417072
2017;JUN;ETANOL ANIDRO;IMPORTAÇÃO;199476,773;98729069
2017;MAI;ETANOL ANIDRO;IMPORTAÇÃO;247989,285;123301519
2017;MAR;ETANOL ANIDRO;IMPORTAÇÃO;291209,71;148753592
2017;NOV;ETANOL ANIDRO;IMPORTAÇÃO;50285,766;22802629
2017;OUT;ETANOL ANIDRO;IMPORTAÇÃO;91164,542;43176979
2017;SET;ETANOL ANIDRO;IMPORTAÇÃO;109867,798;52540437
2017;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;1608,946;1794395
2017;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;85618,956;41120327
2017;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;1283,244;1025561
2017;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;709,738;586030
2017;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;3195,401;2167833
2017;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;7498,163;3944199
2017;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;57218,434;29505738
2017;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;28488,489;15224933
2017;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;10026,569;6416214
2017;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;40220,255;19758297
2017;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;39457,071;19932813
2017;SET;ETANOL HIDRATADO;EXPORTAÇÃO;80989,453;40747097
2017;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;2,792;21568
2017;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;29,099;121806
2017;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;0,579;2991
2017;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;0,776;6428
2017;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;24,402;31680
2017;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;0,857;13205
2017;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;0,296;2890
2017;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;2,226;15596
2017;MAR;ETANOL HIDRATADO;IMPORTAÇÃO;25,794;35752
2017;NOV;ETANOL HIDRATADO;IMPORTAÇÃO;0,614;3057
2017;OUT;ETANOL HIDRATADO;IMPORTAÇÃO;4,688;30404
2017;SET;ETANOL HIDRATADO;IMPORTAÇÃO;50,994;136285
2018;ABR;ETANOL ANIDRO;EXPORTAÇÃO;62715,275;40334418
2018;AGO;ETANOL ANIDRO;EXPORTAÇÃO;161749,284;77766201
2018;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;54796,472;28132294
2018;FEV;ETANOL ANIDRO;EXPORTAÇÃO;60923,591;43483417
2018;JAN;ETANOL ANIDRO;EXPORTAÇÃO;71676,685;45002806
2018;JUL;ETANOL ANIDRO;EXPORTAÇÃO;89505,054;45650193
2018;JUN;ETANOL ANIDRO;EXPORTAÇÃO;82753,205;47805600
2018;MAI;ETANOL ANIDRO;EXPORTAÇÃO;77365,34;44110276
2018;MAR;ETANOL ANIDRO;EXPORTAÇÃO;47438,212;32434659
