ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;PRODUÇÃO
1997;JAN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2202
1997;FEV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2007
1997;MAR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3739
1997;ABR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2714
1997;MAI;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2208
1997;JUN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2201
1997;JUL;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3304
1997;AGO;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2466
1997;SET;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;1582
1997;OUT;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2255
1997;NOV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2460
1997;DEZ;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3501
1997;JAN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8461
1997;FEV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8113
1997;MAR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8581
1997;ABR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8204
1997;MAI;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8921
1997;JUN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8895
1997;JUL;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8986
1997;AGO;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8794
1997;SET;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8822
1997;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8955
1997;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8358
1997;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8695
1997;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;53765
1997;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;55113
1997;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;54533
1997;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;53711
1997;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;56269
1997;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;56978
1997;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;58508
1997;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;56461
1997;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;55226
1997;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;47700
1997;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;45356
1997;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;52356
1997;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;52113
1997;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;56233
1997;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;54736
1997;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;53883
1997;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;53694
1997;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;58893
1997;JUL;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;60103
1997;AGO;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;55382
1997;SET;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;57066
1997;OUT;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;57270
1997;NOV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;52803
1997;DEZ;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;58647
1997;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;8128
1997;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;8597
1997;MAR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
1997;ABR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;10699
1997;MAI;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
1997;JUN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;11815
1997;JUL;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12110
1997;AGO;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12785
1997;SET;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;11015
1997;OUT;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;10513
1997;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12750
1997;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12975
1997;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;6775
1997;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5122
1997;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5873
1997;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5756
1997;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5709
1997;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;6238
1997;JUL;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;6210
1997;AGO;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5449
1997;SET;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5344
1997;OUT;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5310
1997;NOV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;5359
1997;DEZ;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;6853
1997;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;51357
1997;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;51221
1997;MAR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;53119
1997;ABR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;47751
1997;MAI;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;53198
1997;JUN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;47261
1997;JUL;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;48761
1997;AGO;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;49100
1997;SET;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;42047
1997;OUT;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;42295
1997;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;48009
1997;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;48087
1997;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;21785
1997;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;20477
1997;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;22023
1997;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;20161
1997;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;20805
1997;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;22497
1997;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;21750
1997;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;26727
1997;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;26827
1997;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;25959
1997;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;25214
1997;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;28685
1997;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
1997;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;21432
1997;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;19701
1997;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;21894
1997;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;19349
1997;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;22592
1997;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;23115
1997;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;22886
1997;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;22002
1997;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;21852
1997;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;21984
1997;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;21178
1997;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;21626
1997;JAN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;137599,3333
1997;FEV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;136995,6667
